Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5081786;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.31, 25.85)
0,5081786;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.94, 77.46)
0,5081786;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5081786;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5081786;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,108257;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,108257;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,108257;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,108257;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,108257;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,613565;Right Hand Presence Physics;(-0.26, 0.67, 0.59);(348.56, 319.93, 340.44)
1,613565;Left Hand Presence Physics;(-0.47, 0.68, 0.48);(343.21, 327.97, 3.35)
1,613565;Right Controller;(-0.26, 0.67, 0.59);(348.54, 319.95, 340.43)
1,613565;Left Controller;(-0.47, 0.68, 0.48);(343.17, 328.02, 3.37)
1,613565;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,11553;Right Hand Presence Physics;(-0.25, 0.68, 0.76);(345.88, 325.49, 339.53)
2,11553;Left Hand Presence Physics;(-0.45, 0.68, 0.63);(342.27, 335.48, 357.17)
2,11553;Right Controller;(-0.24, 0.68, 0.79);(345.88, 325.48, 339.54)
2,11553;Left Controller;(-0.44, 0.68, 0.67);(342.22, 335.83, 356.99)
2,11553;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,617636;Right Hand Presence Physics;(0.05, 0.68, 1.98);(346.23, 327.29, 338.81)
2,617636;Left Hand Presence Physics;(-0.15, 0.68, 1.85);(341.55, 336.98, 355.79)
2,617636;Right Controller;(0.05, 0.68, 2.01);(346.23, 327.29, 338.81)
2,617636;Left Controller;(-0.15, 0.68, 1.89);(341.55, 336.99, 355.78)
2,617636;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,119346;Right Hand Presence Physics;(0.28, 0.68, 3.21);(346.42, 328.26, 337.96)
3,119346;Left Hand Presence Physics;(0.08, 0.68, 3.09);(341.98, 337.03, 352.61)
3,119346;Right Controller;(0.29, 0.68, 3.25);(346.44, 328.26, 337.95)
3,119346;Left Controller;(0.09, 0.68, 3.12);(341.98, 337.04, 352.59)
3,119346;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,621132;Right Hand Presence Physics;(0.37, 0.68, 4.46);(346.48, 328.35, 337.86)
3,621132;Left Hand Presence Physics;(0.16, 0.68, 4.34);(341.84, 336.32, 352.03)
3,621132;Right Controller;(0.36, 0.68, 4.50);(346.48, 328.35, 337.86)
3,621132;Left Controller;(0.16, 0.68, 4.37);(341.85, 336.32, 352.03)
3,621132;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,122636;Right Hand Presence Physics;(0.22, 0.68, 5.49);(346.24, 328.20, 337.93)
4,122636;Left Hand Presence Physics;(-0.01, 0.68, 5.37);(342.05, 330.23, 352.52)
