Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5075907;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5075907;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5075907;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5075907;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5075907;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,131161;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,131161;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,131161;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,131161;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,131161;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,640208;Right Hand Presence Physics;(-0.37, 0.71, 0.21);(343.75, 260.10, 345.98)
1,640208;Left Hand Presence Physics;(-0.33, 0.73, 0.00);(338.67, 270.65, 10.31)
1,640208;Right Controller;(-0.37, 0.71, 0.20);(343.88, 259.52, 346.52)
1,640208;Left Controller;(-0.33, 0.73, 0.00);(338.91, 270.42, 11.04)
1,640208;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,142524;Right Hand Presence Physics;(-0.36, 0.74, 0.25);(336.02, 264.72, 332.29)
2,142524;Left Hand Presence Physics;(-0.32, 0.72, 0.01);(339.99, 281.52, 18.71)
2,142524;Right Controller;(-0.36, 0.74, 0.25);(336.02, 264.72, 332.33)
2,142524;Left Controller;(-0.32, 0.72, 0.01);(339.95, 281.49, 18.57)
2,142524;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,644605;Right Hand Presence Physics;(-0.33, 0.74, -0.06);(334.80, 217.71, 336.16)
2,644605;Left Hand Presence Physics;(-0.13, 0.73, -0.20);(336.58, 234.68, 14.98)
2,644605;Right Controller;(-0.33, 0.74, -0.06);(334.82, 217.67, 336.15)
2,644605;Left Controller;(-0.13, 0.73, -0.20);(336.58, 234.67, 14.98)
2,644605;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,146525;Right Hand Presence Physics;(-0.33, 0.74, -0.06);(333.47, 218.93, 334.15)
3,146525;Left Hand Presence Physics;(-0.13, 0.72, -0.20);(337.14, 234.24, 15.22)
3,146525;Right Controller;(-0.33, 0.74, -0.06);(333.66, 218.82, 333.87)
3,146525;Left Controller;(-0.13, 0.73, -0.20);(337.14, 234.24, 15.22)
3,146525;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,648015;Right Hand Presence Physics;(-0.34, 0.74, 0.26);(333.36, 264.64, 333.77)
3,648015;Left Hand Presence Physics;(-0.31, 0.72, 0.02);(337.19, 279.37, 14.41)
3,648015;Right Controller;(-0.34, 0.74, 0.26);(333.36, 264.64, 333.77)
3,648015;Left Controller;(-0.31, 0.72, 0.02);(337.17, 279.38, 14.40)
3,648015;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,149942;Right Hand Presence Physics;(-0.14, 0.75, 0.52);(332.46, 310.82, 332.85)
4,149942;Left Hand Presence Physics;(-0.29, 0.72, 0.32);(336.25, 325.34, 12.58)
4,149942;Right Controller;(-0.14, 0.75, 0.52);(332.46, 310.83, 332.85)
4,149942;Left Controller;(-0.29, 0.72, 0.32);(336.23, 325.36, 12.56)
4,149942;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,651373;Right Hand Presence Physics;(0.67, 0.75, 1.11);(332.34, 356.18, 332.80)
4,651373;Left Hand Presence Physics;(0.42, 0.73, 1.07);(333.81, 9.67, 9.36)
4,651373;Right Controller;(0.70, 0.75, 1.13);(332.35, 356.19, 332.79)
4,651373;Left Controller;(0.45, 0.73, 1.09);(333.81, 9.67, 9.36)
4,651373;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,152949;Right Hand Presence Physics;(0.78, 0.74, 2.26);(334.61, 353.64, 336.41)
5,152949;Left Hand Presence Physics;(0.53, 0.73, 2.23);(336.14, 6.26, 15.94)
5,152949;Right Controller;(0.77, 0.74, 2.29);(334.69, 353.56, 336.46)
5,152949;Left Controller;(0.52, 0.73, 2.26);(336.15, 6.23, 15.94)
5,152949;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,654431;Right Hand Presence Physics;(0.45, 0.72, 3.47);(334.90, 345.19, 356.13)
5,654431;Left Hand Presence Physics;(0.26, 0.73, 3.45);(336.25, 5.36, 12.60)
5,654431;Right Controller;(0.45, 0.73, 3.50);(334.84, 345.09, 356.47)
5,654431;Left Controller;(0.25, 0.73, 3.49);(336.25, 5.36, 12.60)
5,654431;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,15563;Right Hand Presence Physics;(0.42, 0.73, 4.73);(340.70, 350.13, 334.27)
6,15563;Left Hand Presence Physics;(0.14, 0.74, 4.71);(335.76, 358.75, 10.91)
6,15563;Right Controller;(0.43, 0.73, 4.77);(340.78, 350.06, 334.09)
6,15563;Left Controller;(0.14, 0.74, 4.75);(335.88, 358.47, 10.96)
6,15563;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,656839;Right Hand Presence Physics;(0.38, 0.73, 5.42);(338.59, 350.25, 340.10)
6,656839;Left Hand Presence Physics;(-0.03, 0.74, 5.44);(334.17, 337.06, 0.48)
6,656839;Right Controller;(0.38, 0.73, 5.42);(338.59, 350.26, 340.10)
6,656839;Left Controller;(-0.04, 0.74, 5.45);(333.98, 336.29, 0.04)
6,656839;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7,158318;Right Hand Presence Physics;(0.38, 0.74, 5.41);(337.70, 349.75, 340.54)
7,158318;Left Hand Presence Physics;(-0.12, 0.66, 5.56);(347.85, 331.49, 346.66)
7,158318;Right Controller;(0.38, 0.74, 5.41);(337.65, 349.72, 340.55)
7,158318;Left Controller;(-0.12, 0.66, 5.57);(348.42, 331.26, 346.93)
