Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0.5003279;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5003279;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5003279;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5003279;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5003279;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.001077;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001077;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001077;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001077;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001077;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.502275;Right Hand Presence Physics;(0.06, 1.31, 0.46);(0.00, 352.60, 0.00)
1.502275;Left Hand Presence Physics;(-0.14, 1.31, 0.43);(0.00, 352.60, 0.00)
1.502275;Right Controller;(0.06, 1.31, 0.46);(0.00, 352.40, 0.00)
1.502275;Left Controller;(-0.14, 1.31, 0.43);(0.00, 352.40, 0.00)
1.502275;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.016314;Right Hand Presence Physics;(0.01, 1.31, 0.83);(0.00, 352.20, 0.00)
2.016314;Left Hand Presence Physics;(-0.19, 1.31, 0.80);(0.00, 352.20, 0.00)
2.016314;Right Controller;(0.01, 1.31, 0.83);(0.00, 352.20, 0.00)
2.016314;Left Controller;(-0.19, 1.31, 0.80);(0.00, 352.20, 0.00)
2.016314;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.520975;Right Hand Presence Physics;(-0.06, 1.24, 1.33);(0.00, 352.20, 0.00)
2.520975;Left Hand Presence Physics;(-0.26, 1.24, 1.30);(0.00, 352.20, 0.00)
2.520975;Right Controller;(-0.06, 1.24, 1.33);(0.00, 352.20, 0.00)
2.520975;Left Controller;(-0.26, 1.24, 1.30);(0.00, 352.20, 0.00)
2.520975;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.02564;Right Hand Presence Physics;(-0.05, 0.97, 1.82);(0.00, 2.00, 0.00)
3.02564;Left Hand Presence Physics;(-0.25, 0.97, 1.82);(0.00, 2.00, 0.00)
3.02564;Right Controller;(-0.05, 0.98, 1.82);(0.00, 2.00, 0.00)
3.02564;Left Controller;(-0.25, 0.98, 1.82);(0.00, 2.00, 0.00)
3.02564;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.528086;Right Hand Presence Physics;(-0.03, 0.82, 2.32);(0.00, 2.60, 0.00)
3.528086;Left Hand Presence Physics;(-0.23, 0.82, 2.33);(0.00, 2.60, 0.00)
3.528086;Right Controller;(-0.03, 0.82, 2.32);(0.00, 2.60, 0.00)
3.528086;Left Controller;(-0.23, 0.82, 2.33);(0.00, 2.60, 0.00)
3.528086;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.029922;Right Hand Presence Physics;(-0.01, 0.80, 2.82);(0.00, 2.60, 0.00)
4.029922;Left Hand Presence Physics;(-0.21, 0.80, 2.83);(0.00, 2.60, 0.00)
4.029922;Right Controller;(-0.01, 0.80, 2.83);(0.00, 2.60, 0.00)
4.029922;Left Controller;(-0.21, 0.80, 2.84);(0.00, 2.60, 0.00)
4.029922;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.536953;Right Hand Presence Physics;(0.02, 0.80, 3.33);(0.00, 2.60, 0.00)
4.536953;Left Hand Presence Physics;(-0.18, 0.80, 3.34);(0.00, 2.60, 0.00)
4.536953;Right Controller;(0.02, 0.80, 3.33);(0.00, 2.60, 0.00)
4.536953;Left Controller;(-0.18, 0.80, 3.34);(0.00, 2.60, 0.00)
4.536953;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.046009;Right Hand Presence Physics;(0.03, 0.80, 3.84);(0.00, 2.00, 0.00)
5.046009;Left Hand Presence Physics;(-0.17, 0.80, 3.84);(0.00, 2.00, 0.00)
5.046009;Right Controller;(0.03, 0.80, 3.84);(0.00, 2.00, 0.00)
5.046009;Left Controller;(-0.17, 0.80, 3.84);(0.00, 2.00, 0.00)
5.046009;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.560788;Right Hand Presence Physics;(0.05, 0.80, 4.35);(0.00, 2.00, 0.00)
5.560788;Left Hand Presence Physics;(-0.15, 0.80, 4.36);(0.00, 2.00, 0.00)
5.560788;Right Controller;(0.05, 0.80, 4.35);(0.00, 2.00, 0.00)
5.560788;Left Controller;(-0.15, 0.80, 4.36);(0.00, 2.00, 0.00)
5.560788;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.069973;Right Hand Presence Physics;(-0.04, 0.80, 4.88);(0.00, 347.40, 0.00)
6.069973;Left Hand Presence Physics;(-0.23, 0.80, 4.83);(0.00, 347.40, 0.00)
6.069973;Right Controller;(-0.04, 0.80, 4.88);(0.00, 347.40, 0.00)
6.069973;Left Controller;(-0.23, 0.80, 4.83);(0.00, 347.40, 0.00)
6.069973;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.578014;Right Hand Presence Physics;(-0.08, 0.64, 5.37);(0.00, 355.40, 0.00)
