Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5032744;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5032744;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5032744;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5032744;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5032744;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,153022;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,153022;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,153022;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,153022;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,153022;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,66407;Right Hand Presence Physics;(0.22, 0.74, 0.32);(338.93, 4.62, 330.82)
1,66407;Left Hand Presence Physics;(-0.02, 0.68, 0.35);(339.99, 16.68, 15.36)
1,66407;Right Controller;(0.22, 0.74, 0.32);(338.81, 4.90, 330.59)
1,66407;Left Controller;(-0.02, 0.68, 0.35);(340.18, 16.58, 16.36)
1,66407;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,165918;Right Hand Presence Physics;(0.16, 0.75, 1.07);(337.01, 1.23, 334.91)
2,165918;Left Hand Presence Physics;(-0.07, 0.68, 1.11);(340.15, 15.52, 21.85)
2,165918;Right Controller;(0.16, 0.75, 1.10);(337.01, 1.25, 334.89)
2,165918;Left Controller;(-0.08, 0.68, 1.14);(340.15, 15.50, 21.77)
2,165918;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,668024;Right Hand Presence Physics;(0.07, 0.74, 2.32);(337.08, 1.05, 335.05)
