Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5035241;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5035241;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5035241;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5035241;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5035241;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,116995;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,116995;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,116995;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,116995;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,116995;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,622776;Right Hand Presence Physics;(0.25, 0.77, 0.29);(330.11, 3.14, 334.33)
1,622776;Left Hand Presence Physics;(-0.06, 0.76, 0.32);(338.31, 25.08, 33.83)
1,622776;Right Controller;(0.25, 0.77, 0.29);(329.69, 3.08, 335.04)
1,622776;Left Controller;(-0.06, 0.76, 0.32);(338.52, 25.56, 34.71)
1,622776;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,125279;Right Hand Presence Physics;(0.06, 0.76, 1.27);(333.39, 355.72, 345.12)
2,125279;Left Hand Presence Physics;(-0.22, 0.77, 1.30);(331.33, 19.59, 26.08)
2,125279;Right Controller;(0.05, 0.76, 1.30);(333.38, 355.77, 345.15)
2,125279;Left Controller;(-0.22, 0.77, 1.33);(331.30, 19.66, 25.85)
2,125279;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,626915;Right Hand Presence Physics;(0.08, 0.77, 2.51);(330.23, 2.60, 341.48)
2,626915;Left Hand Presence Physics;(-0.21, 0.76, 2.55);(332.77, 19.11, 23.30)
2,626915;Right Controller;(0.09, 0.77, 2.54);(330.23, 2.60, 341.48)
2,626915;Left Controller;(-0.21, 0.77, 2.59);(332.77, 19.11, 23.30)
2,626915;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,128798;Right Hand Presence Physics;(0.14, 0.77, 3.76);(330.68, 2.54, 342.08)
3,128798;Left Hand Presence Physics;(-0.16, 0.76, 3.81);(334.16, 17.59, 21.35)
3,128798;Right Controller;(0.14, 0.77, 3.80);(330.67, 2.54, 342.09)
3,128798;Left Controller;(-0.16, 0.76, 3.85);(334.16, 17.58, 21.34)
3,128798;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,63052;Right Hand Presence Physics;(0.13, 0.77, 5.02);(330.62, 2.66, 342.34)
3,63052;Left Hand Presence Physics;(-0.18, 0.74, 5.09);(339.26, 10.49, 18.38)
3,63052;Right Controller;(0.13, 0.77, 5.05);(330.62, 2.70, 342.33)
3,63052;Left Controller;(-0.18, 0.74, 5.13);(339.60, 9.97, 18.22)
3,63052;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,131923;Right Hand Presence Physics;(0.15, 0.77, 5.39);(330.68, 3.26, 342.31)
4,131923;Left Hand Presence Physics;(-0.18, 0.70, 5.50);(343.56, 6.78, 14.81)
4,131923;Right Controller;(0.15, 0.77, 5.39);(330.70, 3.26, 342.33)
4,131923;Left Controller;(-0.18, 0.70, 5.50);(343.61, 6.66, 14.37)
4,131923;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,633441;Right Hand Presence Physics;(0.15, 0.77, 5.39);(330.90, 3.32, 342.55)
4,633441;Left Hand Presence Physics;(-0.15, 0.67, 5.57);(353.31, 10.23, 351.46)
4,633441;Right Controller;(0.15, 0.77, 5.39);(330.90, 3.35, 342.52)
4,633441;Left Controller;(-0.15, 0.67, 5.57);(353.67, 10.61, 350.82)
4,633441;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,758858;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
5,134303;Right Hand Presence Physics;(0.15, 0.77, 5.40);(331.45, 3.07, 342.70)
5,134303;Left Hand Presence Physics;(-0.14, 0.71, 5.54);(348.76, 13.41, 2.42)
5,134303;Right Controller;(0.15, 0.77, 5.40);(331.45, 3.07, 342.70)
5,134303;Left Controller;(-0.14, 0.71, 5.53);(348.49, 14.10, 4.10)
5,134303;Metal Cube;(-0.10, 0.67, 5.59);(358.00, 4.40, 13.72);True;Left Hand
5,636063;Right Hand Presence Physics;(0.13, 0.74, 5.41);(333.13, 0.05, 346.60)
5,636063;Left Hand Presence Physics;(-0.05, 0.76, 5.42);(337.92, 32.45, 351.68)
5,636063;Right Controller;(0.13, 0.74, 5.41);(333.21, 359.66, 346.61)
5,636063;Left Controller;(-0.04, 0.76, 5.42);(337.85, 32.73, 350.89)
5,636063;Metal Cube;(0.01, 0.73, 5.47);(345.76, 22.50, 7.09);True;Left Hand
5,956368;Metal Cube;(0.03, 0.72, 5.45);(345.93, 26.67, 3.96);True;Right Hand
6,137653;Right Hand Presence Physics;(0.12, 0.74, 5.41);(333.12, 358.44, 347.30)
6,137653;Left Hand Presence Physics;(-0.03, 0.76, 5.41);(338.59, 36.73, 349.10)
6,137653;Right Controller;(0.12, 0.74, 5.41);(333.08, 358.45, 347.30)
6,137653;Left Controller;(-0.03, 0.76, 5.41);(338.60, 36.72, 349.10)
6,137653;Metal Cube;(0.05, 0.75, 5.41);(6.50, 88.32, 0.00);True;Right Hand
6,638833;Right Hand Presence Physics;(0.16, 0.76, 5.40);(331.75, 3.63, 322.94)
6,638833;Left Hand Presence Physics;(-0.04, 0.75, 5.42);(340.12, 34.79, 358.39)
6,638833;Right Controller;(0.16, 0.76, 5.40);(332.10, 3.49, 320.96)
6,638833;Left Controller;(-0.04, 0.75, 5.42);(340.20, 34.74, 359.13)
6,638833;Metal Cube;(0.06, 0.76, 5.41);(358.08, 95.31, 0.00);True;Right Hand
7,140154;Right Hand Presence Physics;(0.22, 0.78, 5.39);(323.74, 21.28, 338.44)
7,140154;Left Hand Presence Physics;(-0.10, 0.77, 5.45);(337.84, 23.80, 15.32)
7,140154;Right Controller;(0.22, 0.78, 5.38);(323.46, 21.82, 338.81)
7,140154;Left Controller;(-0.10, 0.77, 5.45);(337.68, 23.42, 15.25)
7,140154;Metal Cube;(0.06, 0.78, 5.42);(358.17, 101.45, 0.00);True;Right Hand
7,641157;Right Hand Presence Physics;(0.17, 0.77, 5.39);(326.25, 11.46, 343.15)
7,641157;Left Hand Presence Physics;(-0.06, 0.76, 5.43);(338.62, 30.38, 6.94)
7,641157;Right Controller;(0.17, 0.77, 5.39);(326.23, 10.41, 343.77)
7,641157;Left Controller;(-0.05, 0.76, 5.43);(338.67, 31.07, 6.18)
7,641157;Metal Cube;(0.06, 0.77, 5.41);(358.03, 100.33, 0.00);True;Right Hand
8,142577;Right Hand Presence Physics;(0.13, 0.78, 5.38);(324.06, 359.87, 346.42)
8,142577;Left Hand Presence Physics;(-0.09, 0.79, 5.45);(335.00, 24.71, 26.07)
8,142577;Right Controller;(0.13, 0.78, 5.38);(323.76, 359.60, 346.32)
8,142577;Left Controller;(-0.09, 0.79, 5.45);(335.00, 24.51, 26.58)
8,142577;Metal Cube;(0.02, 0.78, 5.41);(3.18, 107.40, 0.00);True;Right Hand
8,643995;Right Hand Presence Physics;(0.19, 0.81, 5.35);(318.11, 10.65, 334.67)
8,643995;Left Hand Presence Physics;(-0.04, 0.75, 5.43);(342.58, 35.20, 13.50)
8,643995;Right Controller;(0.19, 0.81, 5.35);(318.31, 10.64, 334.69)
8,643995;Left Controller;(-0.04, 0.75, 5.43);(342.31, 35.11, 13.43)
8,643995;Metal Cube;(0.07, 0.78, 5.39);(346.15, 110.00, 0.00);True;Right Hand
9,144902;Right Hand Presence Physics;(0.17, 0.80, 5.35);(318.97, 6.32, 336.25)
9,144902;Left Hand Presence Physics;(-0.05, 0.74, 5.43);(342.96, 33.17, 13.25)
9,144902;Right Controller;(0.17, 0.80, 5.35);(318.83, 6.62, 336.03)
9,144902;Left Controller;(-0.05, 0.74, 5.43);(343.10, 33.33, 13.06)
9,144902;Metal Cube;(0.06, 0.77, 5.39);(345.06, 110.00, 0.00);True;Right Hand
