Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0.5014144;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014144;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5014144;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014144;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014144;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.002406;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002406;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.002406;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002406;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002406;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.503606;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.503606;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.503606;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.503606;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.503606;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.004598;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.004598;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.004598;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.004598;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.004598;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.505067;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.505067;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.505067;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.505067;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.505067;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.006206;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.006206;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3.006206;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.006206;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.006206;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.506482;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.506482;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3.506482;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.506482;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.506482;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.007454;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
4.007454;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
4.007454;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
4.007454;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
4.007454;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.507959;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
4.507959;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
4.507959;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
4.507959;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
4.507959;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.008083;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.008083;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
5.008083;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.008083;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.008083;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.508814;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.508814;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
5.508814;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.508814;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
5.508814;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.009273;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.009273;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
6.009273;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.009273;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
6.009273;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.510152;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
