Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5117619;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5117619;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5117619;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5117619;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5117619;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,112384;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.76, 25.95)
1,112384;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,112384;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,112384;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,112384;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,617275;Right Hand Presence Physics;(-0.37, 0.75, 0.26);(339.24, 257.93, 320.07)
1,617275;Left Hand Presence Physics;(-0.33, 0.70, -0.01);(339.77, 284.94, 42.22)
1,617275;Right Controller;(-0.37, 0.75, 0.26);(338.72, 257.42, 318.77)
1,617275;Left Controller;(-0.33, 0.71, -0.01);(339.45, 285.20, 42.92)
1,617275;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,119478;Right Hand Presence Physics;(-0.37, 0.76, 0.29);(336.50, 264.69, 322.05)
2,119478;Left Hand Presence Physics;(-0.32, 0.71, 0.00);(337.17, 282.21, 28.45)
