Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5085797;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5085797;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5085797;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5085797;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5085797;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,14252;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,14252;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,14252;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,14252;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,14252;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,655456;Right Hand Presence Physics;(0.30, 0.78, 0.28);(331.75, 11.03, 323.32)
1,655456;Left Hand Presence Physics;(-0.06, 0.76, 0.31);(336.81, 14.97, 24.88)
1,655456;Right Controller;(0.30, 0.78, 0.28);(331.73, 11.05, 323.31)
1,655456;Left Controller;(-0.06, 0.76, 0.31);(336.82, 15.00, 24.86)
1,655456;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,157763;Right Hand Presence Physics;(0.26, 0.78, 1.18);(329.82, 6.63, 327.83)
2,157763;Left Hand Presence Physics;(-0.08, 0.77, 1.21);(331.85, 15.02, 25.09)
2,157763;Right Controller;(0.26, 0.78, 1.22);(329.83, 6.64, 327.83)
2,157763;Left Controller;(-0.08, 0.77, 1.24);(331.85, 15.02, 25.08)
2,157763;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,660038;Right Hand Presence Physics;(0.20, 0.78, 2.44);(329.57, 7.27, 327.48)
2,660038;Left Hand Presence Physics;(-0.15, 0.77, 2.47);(331.84, 13.97, 24.13)
2,660038;Right Controller;(0.19, 0.78, 2.47);(329.57, 7.27, 327.48)
2,660038;Left Controller;(-0.16, 0.77, 2.50);(331.86, 13.93, 24.14)
2,660038;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,161441;Right Hand Presence Physics;(0.45, 0.78, 3.62);(330.67, 4.17, 330.04)
3,161441;Left Hand Presence Physics;(0.11, 0.77, 3.65);(332.19, 13.17, 22.99)
3,161441;Right Controller;(0.47, 0.78, 3.65);(330.84, 3.84, 330.32)
3,161441;Left Controller;(0.13, 0.77, 3.68);(332.18, 13.14, 23.02)
3,161441;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,663116;Right Hand Presence Physics;(0.29, 0.76, 4.84);(335.60, 351.37, 346.66)
3,663116;Left Hand Presence Physics;(0.00, 0.77, 4.88);(332.76, 10.58, 26.65)
3,663116;Right Controller;(0.28, 0.77, 4.88);(335.50, 351.58, 346.51)
3,663116;Left Controller;(-0.01, 0.77, 4.91);(332.76, 10.58, 26.65)
3,663116;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,164978;Right Hand Presence Physics;(0.16, 0.77, 5.43);(333.88, 355.00, 344.62)
4,164978;Left Hand Presence Physics;(-0.18, 0.74, 5.51);(338.18, 5.16, 12.62)
4,164978;Right Controller;(0.16, 0.77, 5.43);(333.88, 355.00, 344.62)
4,164978;Left Controller;(-0.18, 0.74, 5.51);(338.56, 5.45, 11.47)
4,164978;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,569742;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
4,668137;Right Hand Presence Physics;(0.16, 0.77, 5.43);(333.88, 355.24, 344.34)
4,668137;Left Hand Presence Physics;(-0.19, 0.69, 5.55);(350.03, 4.90, 359.43)
4,668137;Right Controller;(0.16, 0.77, 5.43);(333.90, 355.24, 344.33)
4,668137;Left Controller;(-0.19, 0.69, 5.55);(350.02, 4.89, 359.43)
4,668137;Metal Cube;(-0.14, 0.64, 5.60);(359.98, 0.02, 0.04);True;Left Hand
5,181445;Right Hand Presence Physics;(0.13, 0.76, 5.43);(334.64, 352.87, 344.40)
5,181445;Left Hand Presence Physics;(-0.14, 0.75, 5.49);(341.74, 15.70, 7.09)
5,181445;Right Controller;(0.13, 0.76, 5.44);(334.67, 352.59, 344.60)
5,181445;Left Controller;(-0.14, 0.75, 5.48);(341.12, 16.58, 7.60)
5,181445;Metal Cube;(-0.08, 0.71, 5.53);(352.25, 12.15, 8.07);True;Left Hand
5,585553;Metal Cube;(-0.01, 0.72, 5.47);(350.76, 22.15, 4.43);True;Right Hand
5,683093;Right Hand Presence Physics;(0.08, 0.73, 5.45);(334.86, 352.76, 347.83)
5,683093;Left Hand Presence Physics;(-0.08, 0.75, 5.44);(340.46, 26.40, 3.10)
5,683093;Right Controller;(0.08, 0.74, 5.45);(334.86, 352.75, 347.85)
5,683093;Left Controller;(-0.08, 0.75, 5.44);(340.46, 26.40, 3.10)
5,683093;Metal Cube;(-0.04, 0.68, 5.41);(6.11, 88.62, 341.50);True;Right Hand
6,184458;Right Hand Presence Physics;(0.11, 0.75, 5.44);(332.80, 359.97, 345.23)
6,184458;Left Hand Presence Physics;(-0.09, 0.75, 5.45);(339.77, 23.41, 6.31)
6,184458;Right Controller;(0.12, 0.75, 5.44);(332.71, 0.46, 345.43)
6,184458;Left Controller;(-0.09, 0.75, 5.45);(339.80, 23.23, 6.61)
6,184458;Metal Cube;(-0.04, 0.69, 5.42);(1.84, 90.84, 338.41);True;Right Hand
6,226103;Metal Cube;(-0.04, 0.69, 5.42);(1.43, 91.02, 338.21);False;
6,686249;Right Hand Presence Physics;(0.03, 0.72, 5.43);(338.34, 338.35, 358.60)
6,686249;Left Hand Presence Physics;(-0.12, 0.75, 5.46);(339.14, 12.13, 13.69)
6,686249;Right Controller;(0.03, 0.72, 5.43);(338.31, 338.04, 358.94)
6,686249;Left Controller;(-0.12, 0.76, 5.46);(339.10, 12.16, 13.73)
6,686249;Metal Cube;(-0.06, 0.70, 5.44);(354.69, 82.69, 340.09);False;
6,769164;Metal Cube;(-0.06, 0.70, 5.44);(354.71, 82.94, 339.65);True;Right Hand
7,186887;Right Hand Presence Physics;(0.04, 0.73, 5.42);(335.87, 337.23, 355.34)
7,186887;Left Hand Presence Physics;(-0.12, 0.75, 5.46);(338.50, 12.76, 13.45)
7,186887;Right Controller;(0.04, 0.73, 5.42);(336.02, 336.69, 355.42)
7,186887;Left Controller;(-0.12, 0.76, 5.46);(338.49, 12.76, 13.45)
7,186887;Metal Cube;(-0.09, 0.69, 5.41);(7.70, 105.80, 348.00);True;Right Hand
7,312335;Metal Cube;(-0.10, 0.69, 5.40);(12.76, 115.53, 0.42);False;
7,688168;Right Hand Presence Physics;(0.03, 0.73, 5.41);(336.90, 333.61, 356.34)
7,688168;Left Hand Presence Physics;(-0.09, 0.76, 5.44);(337.44, 22.96, 11.75)
7,688168;Right Controller;(0.03, 0.73, 5.41);(336.89, 333.89, 355.94)
7,688168;Left Controller;(-0.09, 0.76, 5.44);(337.43, 22.97, 11.52)
7,688168;Metal Cube;(-0.09, 0.69, 5.39);(19.56, 119.77, 358.08);False;
7,77151;Metal Cube;(-0.09, 0.69, 5.39);(19.28, 119.18, 358.24);True;Right Hand
8,189484;Right Hand Presence Physics;(0.10, 0.76, 5.43);(331.87, 352.72, 338.53)
8,189484;Left Hand Presence Physics;(-0.10, 0.76, 5.45);(338.72, 20.31, 15.23)
8,189484;Right Controller;(0.11, 0.76, 5.43);(331.79, 354.72, 336.28)
8,189484;Left Controller;(-0.10, 0.76, 5.45);(338.73, 20.36, 15.17)
8,189484;Metal Cube;(-0.05, 0.69, 5.42);(358.59, 97.81, 333.43);True;Right Hand
8,691071;Right Hand Presence Physics;(0.19, 0.77, 5.43);(333.20, 14.59, 323.56)
8,691071;Left Hand Presence Physics;(-0.02, 0.73, 5.39);(346.40, 49.40, 343.97)
8,691071;Right Controller;(0.19, 0.77, 5.43);(333.21, 14.58, 323.54)
8,691071;Left Controller;(-0.02, 0.73, 5.39);(347.19, 50.39, 343.18)
8,691071;Metal Cube;(0.04, 0.67, 5.39);(349.73, 78.66, 325.45);True;Right Hand
9,191886;Right Hand Presence Physics;(0.14, 0.80, 5.40);(319.73, 9.85, 335.76)
9,191886;Left Hand Presence Physics;(0.02, 0.68, 5.40);(7.52, 54.05, 320.88)
9,191886;Right Controller;(0.13, 0.79, 5.40);(324.92, 358.37, 339.59)
9,191886;Left Controller;(0.02, 0.68, 5.40);(7.21, 53.60, 321.04)
9,191886;Metal Cube;(0.10, 0.67, 5.43);(313.10, 89.36, 288.22);True;Right Hand
9,219845;Metal Cube;(0.10, 0.67, 5.43);(314.28, 90.61, 287.48);False;
9,693049;Right Hand Presence Physics;(0.15, 0.78, 5.42);(326.95, 359.73, 344.24)
9,693049;Left Hand Presence Physics;(-0.02, 0.75, 5.43);(342.00, 39.38, 341.95)
9,693049;Right Controller;(0.14, 0.78, 5.42);(327.21, 359.21, 344.38)
9,693049;Left Controller;(-0.02, 0.75, 5.43);(342.05, 39.79, 342.02)
9,693049;Metal Cube;(0.04, 0.78, 5.48);(282.93, 74.42, 292.55);False;
9,930104;Metal Cube;(0.05, 0.77, 5.47);(282.53, 70.89, 297.49);True;Right Hand
10,19441;Right Hand Presence Physics;(0.13, 0.78, 5.41);(326.04, 356.73, 342.64)
10,19441;Left Hand Presence Physics;(-0.01, 0.74, 5.42);(342.14, 41.46, 343.22)
10,19441;Right Controller;(0.13, 0.78, 5.41);(325.95, 356.89, 342.51)
10,19441;Left Controller;(-0.01, 0.74, 5.42);(342.14, 41.46, 343.22)
10,19441;Metal Cube;(0.06, 0.69, 5.42);(342.26, 93.92, 313.32);True;Right Hand
10,47286;Metal Cube;(0.02, 0.70, 5.42);(353.40, 96.16, 325.10);False;
10,69544;Right Hand Presence Physics;(0.10, 0.77, 5.41);(328.50, 350.99, 347.08)
10,69544;Left Hand Presence Physics;(-0.05, 0.76, 5.44);(335.88, 27.57, 359.89)
10,69544;Right Controller;(0.09, 0.77, 5.41);(328.55, 350.39, 347.47)
10,69544;Left Controller;(-0.05, 0.76, 5.44);(335.88, 27.56, 359.91)
10,69544;Metal Cube;(0.01, 0.70, 5.43);(351.80, 93.89, 325.60);False;
10,77887;Metal Cube;(0.01, 0.70, 5.43);(351.93, 93.54, 325.53);True;Right Hand
11,19698;Right Hand Presence Physics;(0.12, 0.78, 5.41);(326.69, 358.86, 340.00)
11,19698;Left Hand Presence Physics;(-0.04, 0.76, 5.43);(337.01, 31.15, 357.06)
11,19698;Right Controller;(0.12, 0.78, 5.41);(326.55, 359.67, 339.43)
11,19698;Left Controller;(-0.04, 0.76, 5.43);(337.17, 31.58, 356.78)
11,19698;Metal Cube;(0.02, 0.69, 5.42);(353.42, 98.33, 322.63);True;Right Hand
11,69779;Right Hand Presence Physics;(0.12, 0.77, 5.41);(326.88, 357.24, 338.46)
11,69779;Left Hand Presence Physics;(-0.02, 0.77, 5.44);(339.55, 38.57, 346.75)
11,69779;Right Controller;(0.11, 0.77, 5.41);(326.95, 356.58, 338.93)
11,69779;Left Controller;(-0.02, 0.77, 5.44);(338.95, 38.06, 346.99)
11,69779;Metal Cube;(0.03, 0.70, 5.42);(357.20, 99.82, 320.66);True;Right Hand
12,19926;Right Hand Presence Physics;(0.10, 0.77, 5.41);(327.27, 352.63, 341.56)
12,19926;Left Hand Presence Physics;(-0.01, 0.79, 5.45);(336.18, 36.31, 349.62)
12,19926;Right Controller;(0.10, 0.77, 5.41);(327.27, 353.20, 341.25)
12,19926;Left Controller;(-0.01, 0.79, 5.45);(336.31, 36.23, 349.84)
12,19926;Metal Cube;(0.01, 0.72, 5.43);(11.00, 111.04, 325.52);True;Right Hand
12,70004;Right Hand Presence Physics;(0.08, 0.76, 5.41);(325.74, 333.13, 355.72)
12,70004;Left Hand Presence Physics;(0.00, 0.81, 5.44);(332.71, 37.99, 353.39)
12,70004;Right Controller;(0.07, 0.76, 5.41);(328.19, 346.95, 343.64)
12,70004;Left Controller;(0.00, 0.81, 5.44);(332.68, 37.91, 353.46)
12,70004;Metal Cube;(0.00, 0.74, 5.38);(33.81, 112.75, 2.72);True;Right Hand
13,2015;Right Hand Presence Physics;(0.28, 0.79, 5.40);(326.23, 24.93, 323.15)
13,2015;Left Hand Presence Physics;(-0.08, 0.82, 5.47);(330.18, 25.02, 358.95)
13,2015;Right Controller;(0.29, 0.80, 5.40);(326.38, 25.95, 322.48)
13,2015;Left Controller;(-0.08, 0.82, 5.47);(330.14, 24.82, 359.05)
13,2015;Metal Cube;(-0.03, 0.75, 5.45);(4.42, 100.28, 322.54);True;Right Hand
13,70232;Right Hand Presence Physics;(0.14, 0.78, 5.41);(327.70, 350.27, 345.50)
