Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5039708;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.31, 25.85)
0,5039708;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.94, 77.46)
0,5039708;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5039708;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5039708;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,005243;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,005243;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,005243;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,005243;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,005243;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,506474;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,506474;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,506474;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,506474;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,506474;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,007592;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.92, 6.84, 25.73)
2,007592;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.41, 355.10, 77.48)
2,007592;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,007592;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,007592;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,509027;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.36, 25.75)
2,509027;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.78, 77.47)
2,509027;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,509027;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,509027;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,010045;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.35, 25.75)
3,010045;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.77, 77.47)
3,010045;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
3,010045;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
3,010045;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,511647;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.35, 25.75)
3,511647;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.77, 77.47)
3,511647;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
3,511647;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
3,511647;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,012234;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.34, 25.76)
4,012234;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.76, 77.47)
4,012234;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
4,012234;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
4,012234;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,513729;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.34, 25.76)
4,513729;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.76, 77.47)
4,513729;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
4,513729;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
4,513729;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,014534;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.92, 6.82, 25.73)
5,014534;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.41, 355.09, 77.48)
5,014534;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
5,014534;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
5,014534;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,515865;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.43, 25.75)
5,515865;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.84, 77.47)
5,515865;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
5,515865;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
5,515865;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,274578;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
