Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5043708;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5043708;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5043708;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5043708;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5043708;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,140584;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,140584;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,140584;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,140584;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,140584;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,650221;Right Hand Presence Physics;(0.25, 0.74, 0.50);(338.89, 5.37, 333.03)
1,650221;Left Hand Presence Physics;(-0.01, 0.69, 0.54);(335.51, 3.70, 11.41)
1,650221;Right Controller;(0.25, 0.74, 0.53);(338.90, 5.36, 333.06)
1,650221;Left Controller;(-0.01, 0.69, 0.57);(335.51, 3.70, 11.41)
1,650221;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,152926;Right Hand Presence Physics;(0.18, 0.74, 1.75);(338.82, 5.03, 333.14)
2,152926;Left Hand Presence Physics;(-0.08, 0.69, 1.79);(335.96, 3.66, 11.23)
2,152926;Right Controller;(0.17, 0.74, 1.79);(338.81, 5.01, 333.18)
2,152926;Left Controller;(-0.09, 0.69, 1.83);(335.96, 3.66, 11.23)
2,152926;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,654764;Right Hand Presence Physics;(0.09, 0.74, 3.01);(338.84, 4.96, 333.18)
2,654764;Left Hand Presence Physics;(-0.17, 0.69, 3.05);(336.07, 3.51, 10.54)
2,654764;Right Controller;(0.09, 0.74, 3.04);(338.85, 4.96, 333.18)
2,654764;Left Controller;(-0.17, 0.69, 3.08);(336.08, 3.49, 10.53)
2,654764;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,157057;Right Hand Presence Physics;(0.11, 0.74, 4.26);(338.74, 4.98, 333.15)
3,157057;Left Hand Presence Physics;(-0.15, 0.69, 4.30);(336.31, 3.10, 9.87)
3,157057;Right Controller;(0.12, 0.74, 4.29);(338.74, 4.98, 333.14)
3,157057;Left Controller;(-0.14, 0.69, 4.34);(336.34, 3.07, 9.89)
3,157057;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,658474;Right Hand Presence Physics;(0.20, 0.74, 5.32);(338.22, 5.63, 332.80)
3,658474;Left Hand Presence Physics;(-0.11, 0.71, 5.39);(333.12, 348.91, 12.08)
3,658474;Right Controller;(0.20, 0.75, 5.32);(338.20, 5.64, 332.79)
3,658474;Left Controller;(-0.11, 0.71, 5.39);(332.67, 348.06, 12.31)
3,658474;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,160408;Right Hand Presence Physics;(0.20, 0.75, 5.32);(337.48, 6.53, 332.08)
4,160408;Left Hand Presence Physics;(-0.14, 0.69, 5.55);(354.01, 349.47, 347.77)
4,160408;Right Controller;(0.20, 0.75, 5.32);(337.47, 6.52, 332.08)
4,160408;Left Controller;(-0.14, 0.69, 5.55);(354.23, 349.46, 347.25)
4,160408;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,369383;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
4,661602;Right Hand Presence Physics;(0.20, 0.75, 5.32);(337.33, 5.93, 332.30)
4,661602;Left Hand Presence Physics;(-0.14, 0.68, 5.56);(357.83, 350.66, 352.06)
4,661602;Right Controller;(0.20, 0.75, 5.32);(337.33, 5.93, 332.30)
4,661602;Left Controller;(-0.14, 0.68, 5.56);(357.89, 350.72, 352.74)
4,661602;Metal Cube;(-0.14, 1.60, 5.25);(358.87, 0.81, 1.40);True;Left Hand
5,079493;Metal Cube;(-0.33, 3.30, 4.61);(359.16, 1.48, 4.22);False;
5,162968;Right Hand Presence Physics;(0.20, 0.75, 5.32);(337.24, 5.77, 332.38)
5,162968;Left Hand Presence Physics;(-0.14, 0.71, 5.47);(352.99, 355.67, 15.17)
5,162968;Right Controller;(0.20, 0.75, 5.32);(337.24, 5.77, 332.38)
5,162968;Left Controller;(-0.14, 0.72, 5.47);(352.83, 356.00, 16.20)
5,162968;Metal Cube;(-0.44, 3.78, 4.45);(359.78, 1.25, 5.71);False;
5,664351;Right Hand Presence Physics;(0.19, 0.74, 5.32);(337.52, 5.60, 334.52)
