Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5064069;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5064069;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5064069;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5064069;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5064069;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,158495;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,158495;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,158495;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,158495;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,158495;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,667012;Right Hand Presence Physics;(0.25, 0.76, 0.58);(333.92, 2.95, 336.32)
1,667012;Left Hand Presence Physics;(0.00, 0.72, 0.60);(325.47, 5.02, 9.74)
1,667012;Right Controller;(0.25, 0.76, 0.62);(333.88, 2.56, 336.58)
1,667012;Left Controller;(0.00, 0.72, 0.64);(325.48, 5.05, 9.80)
1,667012;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,168918;Right Hand Presence Physics;(0.13, 0.74, 1.84);(337.37, 355.19, 343.67)
2,168918;Left Hand Presence Physics;(-0.07, 0.72, 1.86);(327.14, 4.56, 12.29)
2,168918;Right Controller;(0.13, 0.74, 1.87);(337.37, 355.21, 343.65)
2,168918;Left Controller;(-0.07, 0.72, 1.89);(327.14, 4.56, 12.29)
2,168918;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,670686;Right Hand Presence Physics;(0.01, 0.74, 3.09);(338.70, 357.03, 343.71)
2,670686;Left Hand Presence Physics;(-0.20, 0.71, 3.11);(329.92, 4.39, 14.14)
2,670686;Right Controller;(0.01, 0.74, 3.12);(338.70, 357.03, 343.70)
2,670686;Left Controller;(-0.20, 0.71, 3.14);(329.92, 4.39, 14.14)
2,670686;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,173257;Right Hand Presence Physics;(0.03, 0.74, 4.34);(338.62, 357.20, 343.66)
3,173257;Left Hand Presence Physics;(-0.18, 0.71, 4.36);(330.43, 4.74, 12.58)
3,173257;Right Controller;(0.03, 0.74, 4.38);(338.60, 357.19, 343.66)
3,173257;Left Controller;(-0.18, 0.71, 4.40);(330.44, 4.71, 12.57)
3,173257;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,674508;Right Hand Presence Physics;(0.09, 0.74, 5.37);(337.97, 358.30, 343.01)
3,674508;Left Hand Presence Physics;(-0.15, 0.73, 5.43);(333.49, 359.30, 8.78)
3,674508;Right Controller;(0.09, 0.74, 5.37);(337.97, 358.30, 343.01)
3,674508;Left Controller;(-0.16, 0.73, 5.44);(333.80, 359.31, 8.23)
3,674508;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,02261;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
4,175727;Right Hand Presence Physics;(0.09, 0.75, 5.37);(337.41, 358.86, 342.41)
4,175727;Left Hand Presence Physics;(-0.14, 0.68, 5.54);(357.22, 2.78, 356.51)
4,175727;Right Controller;(0.09, 0.75, 5.37);(337.41, 358.86, 342.41)
4,175727;Left Controller;(-0.14, 0.69, 5.54);(356.99, 2.90, 357.22)
4,175727;Metal Cube;(-0.11, 0.64, 5.59);(359.62, 0.72, 3.38);True;Left Hand
4,677066;Right Hand Presence Physics;(0.06, 0.74, 5.36);(335.32, 354.24, 347.86)
4,677066;Left Hand Presence Physics;(-0.06, 0.75, 5.40);(343.76, 19.77, 0.60)
4,677066;Right Controller;(0.06, 0.74, 5.36);(335.32, 354.25, 347.85)
4,677066;Left Controller;(-0.06, 0.75, 5.40);(343.71, 20.04, 0.56)
4,677066;Metal Cube;(-0.02, 0.71, 5.44);(346.21, 17.79, 8.39);True;Left Hand
4,732952;Metal Cube;(-0.01, 0.71, 5.44);(346.66, 18.42, 7.81);True;Right Hand
5,178502;Right Hand Presence Physics;(0.10, 0.75, 5.36);(331.69, 2.73, 340.19)
5,178502;Left Hand Presence Physics;(-0.06, 0.74, 5.38);(344.55, 24.80, 4.71)
5,178502;Right Controller;(0.10, 0.75, 5.36);(331.47, 3.45, 339.43)
5,178502;Left Controller;(-0.05, 0.75, 5.38);(344.67, 25.27, 5.23)
5,178502;Metal Cube;(-0.01, 0.72, 5.43);(346.07, 12.20, 18.17);True;Right Hand
5,345791;Metal Cube;(0.00, 0.72, 5.42);(345.97, 8.20, 18.18);False;
5,680033;Right Hand Presence Physics;(0.06, 0.74, 5.36);(332.90, 357.47, 348.90)
5,680033;Left Hand Presence Physics;(-0.04, 0.75, 5.36);(343.23, 27.28, 3.24)
5,680033;Right Controller;(0.06, 0.74, 5.36);(332.96, 357.40, 349.07)
5,680033;Left Controller;(-0.04, 0.75, 5.36);(343.23, 27.28, 3.24)
5,680033;Metal Cube;(0.00, 0.72, 5.42);(344.33, 8.65, 16.57);False;
5,791514;Metal Cube;(0.01, 0.72, 5.41);(343.52, 10.11, 15.68);True;Right Hand
6,18173;Right Hand Presence Physics;(0.13, 0.76, 5.35);(328.09, 14.06, 326.27)
6,18173;Left Hand Presence Physics;(-0.05, 0.75, 5.37);(341.67, 24.61, 7.29)
6,18173;Right Controller;(0.14, 0.77, 5.35);(328.18, 14.96, 324.45)
6,18173;Left Controller;(-0.05, 0.75, 5.37);(341.67, 24.30, 7.79)
6,18173;Metal Cube;(0.01, 0.73, 5.41);(341.00, 18.63, 27.62);True;Right Hand
6,320799;Metal Cube;(0.01, 0.73, 5.41);(342.01, 18.36, 28.78);False;
6,655239;Metal Cube;(0.02, 0.74, 5.39);(338.67, 24.23, 28.20);True;Right Hand
6,682879;Right Hand Presence Physics;(0.11, 0.76, 5.36);(329.22, 6.29, 334.08)
6,682879;Left Hand Presence Physics;(-0.04, 0.76, 5.35);(339.01, 30.57, 7.86)
6,682879;Right Controller;(0.11, 0.76, 5.36);(329.18, 6.22, 334.11)
6,682879;Left Controller;(-0.04, 0.76, 5.35);(338.98, 30.54, 7.87)
6,682879;Metal Cube;(0.03, 0.75, 5.38);(337.01, 27.16, 31.16);True;Right Hand
6,961411;Metal Cube;(0.03, 0.75, 5.38);(333.66, 30.04, 36.08);False;
7,183965;Right Hand Presence Physics;(0.12, 0.76, 5.35);(328.18, 9.24, 330.81)
7,183965;Left Hand Presence Physics;(-0.03, 0.75, 5.34);(338.39, 35.61, 5.89)
7,183965;Right Controller;(0.12, 0.76, 5.35);(328.08, 9.12, 330.76)
7,183965;Left Controller;(-0.03, 0.76, 5.34);(338.42, 35.89, 5.73)
7,183965;Metal Cube;(0.04, 0.75, 5.36);(333.09, 34.63, 34.20);False;
7,225809;Metal Cube;(0.04, 0.75, 5.36);(333.05, 34.93, 33.96);True;Right Hand
7,560359;Metal Cube;(0.04, 0.75, 5.36);(331.03, 37.18, 36.29);False;
7,685318;Right Hand Presence Physics;(0.15, 0.78, 5.33);(322.95, 15.08, 324.66)
7,685318;Left Hand Presence Physics;(-0.03, 0.75, 5.35);(339.57, 34.89, 7.44)
7,685318;Right Controller;(0.15, 0.78, 5.33);(322.59, 15.44, 324.11)
7,685318;Left Controller;(-0.03, 0.75, 5.35);(339.71, 34.84, 7.71)
7,685318;Metal Cube;(0.04, 0.75, 5.36);(331.94, 35.82, 38.11);False;
7,949864;Metal Cube;(0.05, 0.75, 5.36);(331.70, 38.34, 34.82);True;Right Hand
8,1867;Right Hand Presence Physics;(0.13, 0.77, 5.29);(357.12, 68.17, 305.63)
8,1867;Left Hand Presence Physics;(-0.03, 0.74, 5.35);(341.01, 34.66, 4.35)
8,1867;Right Controller;(0.11, 0.80, 5.30);(314.73, 7.90, 336.81)
8,1867;Left Controller;(-0.03, 0.74, 5.35);(341.23, 34.47, 4.42)
8,1867;Metal Cube;(0.04, 0.76, 5.34);(318.09, 53.74, 42.53);True;Right Hand
8,687779;Right Hand Presence Physics;(0.15, 0.77, 5.34);(359.94, 50.28, 294.99)
8,687779;Left Hand Presence Physics;(-0.04, 0.76, 5.34);(333.02, 33.89, 6.32)
8,687779;Right Controller;(0.15, 0.77, 5.35);(326.54, 13.50, 328.68)
8,687779;Left Controller;(-0.04, 0.77, 5.34);(332.49, 33.94, 6.40)
8,687779;Metal Cube;(0.03, 0.76, 5.35);(330.17, 43.88, 29.37);True;Right Hand
9,189313;Right Hand Presence Physics;(0.13, 0.78, 5.34);(325.72, 5.65, 335.86)
9,189313;Left Hand Presence Physics;(-0.05, 0.76, 5.34);(332.80, 30.91, 8.12)
9,189313;Right Controller;(0.13, 0.78, 5.34);(326.42, 6.14, 335.69)
9,189313;Left Controller;(-0.05, 0.76, 5.34);(332.80, 30.91, 8.11)
9,189313;Metal Cube;(0.03, 0.76, 5.35);(329.42, 46.05, 30.45);True;Right Hand
9,690167;Right Hand Presence Physics;(0.15, 0.79, 5.33);(320.84, 6.64, 347.00)
9,690167;Left Hand Presence Physics;(-0.07, 0.77, 5.35);(330.50, 22.78, 18.31)
9,690167;Right Controller;(0.15, 0.79, 5.33);(320.78, 7.17, 347.39)
9,690167;Left Controller;(-0.07, 0.77, 5.35);(330.15, 22.04, 18.99)
9,690167;Metal Cube;(0.00, 0.77, 5.36);(332.11, 50.46, 31.77);True;Right Hand
10,1914;Right Hand Presence Physics;(0.13, 0.79, 5.32);(317.91, 1.89, 353.28)
10,1914;Left Hand Presence Physics;(-0.04, 0.76, 5.34);(334.28, 33.08, 358.52)
10,1914;Right Controller;(0.13, 0.80, 5.32);(317.47, 2.48, 353.10)
10,1914;Left Controller;(-0.04, 0.76, 5.34);(334.49, 33.50, 357.32)
10,1914;Metal Cube;(0.04, 0.77, 5.34);(319.51, 50.67, 31.56);True;Right Hand
10,69265;Right Hand Presence Physics;(0.10, 0.76, 5.34);(329.28, 345.28, 11.96)
10,69265;Left Hand Presence Physics;(-0.10, 0.79, 5.35);(321.71, 13.21, 18.13)
