Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5069683;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5069683;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5069683;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5069683;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5069683;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,008024;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,008024;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,008024;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,008024;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,008024;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,50944;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.92, 6.83, 25.73)
1,50944;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.41, 355.10, 77.48)
1,50944;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,50944;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,50944;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,010227;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.37, 25.75)
2,010227;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.79, 77.47)
2,010227;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,010227;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,010227;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,511462;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.35, 25.75)
2,511462;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.77, 77.47)
2,511462;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
