Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5079982;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5079982;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5079982;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5079982;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5079982;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,329392;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.34, 25.76)
1,329392;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.76, 77.47)
1,329392;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,329392;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,329392;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,835886;Right Hand Presence Physics;(-0.36, 0.66, 0.56);(348.76, 319.25, 346.64)
1,835886;Left Hand Presence Physics;(-0.57, 0.68, 0.36);(345.48, 320.67, 23.60)
1,835886;Right Controller;(-0.36, 0.66, 0.56);(348.75, 319.28, 346.62)
1,835886;Left Controller;(-0.57, 0.68, 0.35);(345.15, 320.89, 22.89)
1,835886;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,33789;Right Hand Presence Physics;(0.06, 0.66, 1.68);(349.14, 350.17, 344.62)
2,33789;Left Hand Presence Physics;(-0.23, 0.68, 1.61);(345.53, 350.39, 21.58)
2,33789;Right Controller;(0.08, 0.66, 1.71);(349.13, 350.18, 344.63)
2,33789;Left Controller;(-0.20, 0.68, 1.64);(345.56, 350.41, 21.58)
2,33789;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,840213;Right Hand Presence Physics;(0.36, 0.66, 2.82);(349.15, 350.49, 345.89)
2,840213;Left Hand Presence Physics;(0.07, 0.68, 2.75);(345.78, 350.89, 22.43)
2,840213;Right Controller;(0.36, 0.66, 2.86);(349.15, 350.49, 345.89)
2,840213;Left Controller;(0.07, 0.68, 2.78);(345.79, 350.89, 22.45)
2,840213;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,341886;Right Hand Presence Physics;(0.21, 0.66, 4.06);(349.19, 350.55, 345.76)
3,341886;Left Hand Presence Physics;(-0.07, 0.67, 3.99);(346.49, 351.46, 22.42)
3,341886;Right Controller;(0.20, 0.66, 4.10);(349.20, 350.57, 345.73)
3,341886;Left Controller;(-0.08, 0.68, 4.02);(346.50, 351.47, 22.40)
3,341886;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,843429;Right Hand Presence Physics;(0.00, 0.66, 5.30);(349.03, 350.97, 345.62)
3,843429;Left Hand Presence Physics;(-0.29, 0.67, 5.22);(346.73, 350.94, 21.76)
3,843429;Right Controller;(-0.01, 0.66, 5.33);(349.02, 350.97, 345.63)
3,843429;Left Controller;(-0.29, 0.68, 5.26);(346.73, 350.94, 21.76)
3,843429;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,34493;Right Hand Presence Physics;(-0.07, 1.16, 5.74);(349.15, 351.00, 345.58)
4,34493;Left Hand Presence Physics;(-0.36, 1.17, 5.66);(346.96, 349.88, 23.20)
4,34493;Right Controller;(-0.07, 1.16, 5.74);(349.19, 351.01, 345.59)
4,34493;Left Controller;(-0.36, 1.17, 5.66);(346.95, 349.88, 23.19)
4,34493;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,846861;Right Hand Presence Physics;(0.31, 0.66, 5.01);(348.47, 350.11, 345.94)
4,846861;Left Hand Presence Physics;(0.03, 0.67, 4.94);(347.49, 351.51, 26.19)
4,846861;Right Controller;(0.33, 0.67, 4.97);(348.47, 350.10, 345.94)
4,846861;Left Controller;(0.04, 0.68, 4.90);(347.43, 351.56, 26.23)
4,846861;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
