Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0.5009154;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5009154;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5009154;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5009154;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5009154;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.002475;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002475;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.002475;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002475;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002475;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
