Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0.5006626;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006626;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006626;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006626;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5006626;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.002122;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002122;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002122;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002122;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002122;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.502839;Right Hand Presence Physics;(0.11, 1.31, 0.29);(0.00, 2.80, 0.00)
1.502839;Left Hand Presence Physics;(-0.09, 1.31, 0.30);(0.00, 2.80, 0.00)
1.502839;Right Controller;(0.11, 1.31, 0.29);(0.00, 2.80, 0.00)
1.502839;Left Controller;(-0.09, 1.31, 0.30);(0.00, 2.80, 0.00)
1.502839;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.003502;Right Hand Presence Physics;(0.12, 1.31, 0.29);(0.00, 4.60, 0.00)
2.003502;Left Hand Presence Physics;(-0.08, 1.31, 0.31);(0.00, 4.60, 0.00)
2.003502;Right Controller;(0.12, 1.31, 0.29);(0.00, 4.60, 0.00)
2.003502;Left Controller;(-0.08, 1.31, 0.31);(0.00, 4.60, 0.00)
2.003502;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.517393;Right Hand Presence Physics;(0.15, 1.31, 0.60);(0.00, 4.60, 0.00)
2.517393;Left Hand Presence Physics;(-0.05, 1.31, 0.62);(0.00, 4.60, 0.00)
2.517393;Right Controller;(0.15, 1.31, 0.60);(0.00, 4.60, 0.00)
2.517393;Left Controller;(-0.05, 1.31, 0.62);(0.00, 4.60, 0.00)
2.517393;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.019817;Right Hand Presence Physics;(0.22, 1.31, 1.45);(0.00, 4.60, 0.00)
3.019817;Left Hand Presence Physics;(0.02, 1.31, 1.47);(0.00, 3.80, 0.00)
3.019817;Right Controller;(0.22, 1.31, 1.49);(0.00, 4.60, 0.00)
3.019817;Left Controller;(0.02, 1.31, 1.51);(0.00, 3.80, 0.00)
3.019817;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.520335;Right Hand Presence Physics;(0.29, 1.31, 2.30);(0.00, 4.60, 0.00)
3.520335;Left Hand Presence Physics;(0.09, 1.31, 2.31);(359.60, 1.80, 0.00)
3.520335;Right Controller;(0.29, 1.31, 2.30);(0.00, 4.60, 0.00)
3.520335;Left Controller;(0.09, 1.31, 2.31);(359.60, 1.80, 0.00)
3.520335;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.021529;Right Hand Presence Physics;(0.29, 1.31, 2.30);(359.80, 4.60, 0.00)
