Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5023549;Right Hand Presence Physics;(0.10, 0.02, 0.30);(340.98, 353.77, 65.45)
0,5023549;Left Hand Presence Physics;(-0.10, 0.08, 0.30);(352.33, 2.24, 84.04)
0,5023549;Right Controller;(0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
0,5023549;Left Controller;(-0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
0,5023549;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,00329;Right Hand Presence Physics;(0.10, 0.02, 0.30);(340.98, 353.80, 65.45)
1,00329;Left Hand Presence Physics;(-0.10, 0.08, 0.30);(352.33, 3.64, 84.04)
1,00329;Right Controller;(0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
1,00329;Left Controller;(-0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
1,00329;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,504195;Right Hand Presence Physics;(0.10, 0.02, 0.30);(340.98, 353.80, 65.45)
1,504195;Left Hand Presence Physics;(-0.10, 0.08, 0.30);(352.33, 3.64, 84.04)
1,504195;Right Controller;(0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
1,504195;Left Controller;(-0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
1,504195;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,005704;Right Hand Presence Physics;(0.10, 0.02, 0.30);(340.98, 353.80, 65.45)
2,005704;Left Hand Presence Physics;(-0.10, 0.08, 0.30);(352.33, 3.64, 84.04)
2,005704;Right Controller;(0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
2,005704;Left Controller;(-0.10, -0.05, 0.30);(0.00, 0.00, 0.00)
2,005704;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,506842;Right Hand Presence Physics;(0.10, 0.02, 0.30);(340.98, 353.80, 65.45)
2,506842;Left Hand Presence Physics;(-0.10, 0.08, 0.30);(352.33, 3.64, 84.04)
