Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5074838;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 4.59, 25.84)
0,5074838;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 353.18, 77.46)
0,5074838;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5074838;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
0,5074838;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,165573;Right Hand Presence Physics;(0.02, 0.07, -0.01);(332.89, 6.33, 25.76)
1,165573;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 354.75, 77.47)
1,165573;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,165573;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
1,165573;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,677148;Right Hand Presence Physics;(0.25, 0.78, 0.45);(331.35, 3.64, 343.26)
1,677148;Left Hand Presence Physics;(-0.02, 0.74, 0.46);(330.93, 8.33, 31.75)
1,677148;Right Controller;(0.25, 0.78, 0.48);(331.14, 3.38, 343.42)
1,677148;Left Controller;(-0.01, 0.74, 0.50);(331.05, 8.64, 32.06)
1,677148;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,179423;Right Hand Presence Physics;(0.19, 0.77, 1.70);(332.78, 1.44, 344.43)
2,179423;Left Hand Presence Physics;(-0.05, 0.74, 1.71);(329.55, 8.24, 29.23)
2,179423;Right Controller;(0.18, 0.77, 1.74);(332.77, 1.46, 344.40)
2,179423;Left Controller;(-0.06, 0.75, 1.75);(329.55, 8.24, 29.21)
2,179423;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,681446;Right Hand Presence Physics;(0.09, 0.78, 2.95);(332.05, 2.50, 343.75)
2,681446;Left Hand Presence Physics;(-0.27, 0.79, 2.98);(323.81, 351.60, 29.71)
2,681446;Right Controller;(0.09, 0.78, 2.99);(332.06, 2.50, 343.75)
2,681446;Left Controller;(-0.27, 0.79, 3.02);(324.11, 351.16, 29.95)
2,681446;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,183305;Right Hand Presence Physics;(0.05, 0.78, 4.20);(331.30, 2.27, 343.59)
3,183305;Left Hand Presence Physics;(-0.29, 0.77, 4.26);(328.94, 358.18, 17.24)
3,183305;Right Controller;(0.05, 0.78, 4.24);(331.30, 2.27, 343.59)
3,183305;Left Controller;(-0.29, 0.77, 4.30);(329.05, 358.14, 17.17)
3,183305;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,685385;Right Hand Presence Physics;(0.19, 0.78, 5.42);(331.19, 2.65, 343.27)
3,685385;Left Hand Presence Physics;(-0.11, 0.72, 5.55);(348.06, 8.55, 352.10)
3,685385;Right Controller;(0.19, 0.78, 5.42);(331.21, 2.65, 343.25)
3,685385;Left Controller;(-0.11, 0.72, 5.55);(349.36, 9.46, 352.32)
3,685385;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,991651;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
4,186337;Right Hand Presence Physics;(0.19, 0.78, 5.42);(331.36, 2.88, 343.25)
4,186337;Left Hand Presence Physics;(-0.11, 0.71, 5.59);(351.81, 6.03, 338.86)
4,186337;Right Controller;(0.19, 0.78, 5.42);(331.36, 2.88, 343.25)
4,186337;Left Controller;(-0.11, 0.71, 5.59);(351.47, 6.24, 339.39)
4,186337;Metal Cube;(-0.10, 0.66, 5.63);(357.90, 2.91, 5.03);True;Left Hand
4,688053;Right Hand Presence Physics;(0.15, 0.76, 5.44);(332.61, 358.57, 350.42)
4,688053;Left Hand Presence Physics;(0.05, 0.77, 5.44);(341.37, 33.36, 343.20)
4,688053;Right Controller;(0.14, 0.76, 5.44);(332.95, 357.39, 350.07)
4,688053;Left Controller;(0.05, 0.77, 5.43);(341.40, 33.54, 343.20)
4,688053;Metal Cube;(0.08, 0.73, 5.47);(347.57, 30.78, 10.20);True;Left Hand
4,729595;Metal Cube;(0.08, 0.73, 5.47);(345.18, 30.41, 15.31);True;Right Hand
5,189536;Right Hand Presence Physics;(0.21, 0.78, 5.43);(329.08, 12.31, 338.05)
5,189536;Left Hand Presence Physics;(0.03, 0.77, 5.44);(340.95, 31.44, 346.08)
5,189536;Right Controller;(0.22, 0.78, 5.43);(329.02, 13.13, 337.16)
5,189536;Left Controller;(0.03, 0.77, 5.45);(340.97, 31.24, 346.34)
5,189536;Metal Cube;(0.08, 0.74, 5.47);(337.75, 45.14, 23.08);True;Right Hand
5,691319;Right Hand Presence Physics;(0.21, 0.80, 5.40);(322.14, 7.56, 334.33)
5,691319;Left Hand Presence Physics;(0.03, 0.77, 5.44);(340.17, 32.63, 356.40)
5,691319;Right Controller;(0.21, 0.80, 5.40);(321.48, 8.60, 332.81)
5,691319;Left Controller;(0.03, 0.78, 5.45);(340.39, 32.02, 358.29)
5,691319;Metal Cube;(0.08, 0.75, 5.46);(337.74, 51.73, 28.46);True;Right Hand
6,192338;Right Hand Presence Physics;(0.21, 0.86, 5.29);(304.22, 6.56, 321.74)
6,192338;Left Hand Presence Physics;(0.06, 0.74, 5.44);(354.31, 46.05, 11.16)
6,192338;Right Controller;(0.21, 0.86, 5.29);(303.81, 6.05, 322.52)
